HAUL_ID,CATCH_SAMPLE_VALUE_ID,CATCH_SAMPLE_ID,SAMPLE_VALUE_UNITS,WEIGHT,WEIGHT_UNITS,COUNT,KEEP,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
42,78,75,"BSK",22.0000,"KG",,"Y","f1f9206994e82d08","<not set>","06/04/2021 08:50:26",0,"06/04/2021 08:50:26",78
42,79,76,"BSK",22.0000,"KG",,"Y","f1f9206994e82d08","<not set>","06/04/2021 08:50:58",0,"06/04/2021 08:50:58",79
