HAUL_ID,CATCH_SAMPLE_VALUE_ID,CATCH_SAMPLE_ID,SAMPLE_VALUE_UNITS,WEIGHT,WEIGHT_UNITS,COUNT,KEEP,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
6,23,15,"BSK",22.0000,"KG",56,"Y","18c475f58d54b66e","<not set>","02/23/2023 15:18:04",0,"02/23/2023 15:18:04",23
6,24,16,"BSK",22.0000,"KG",,"Y","18c475f58d54b66e","<not set>","02/23/2023 15:18:32",0,"02/23/2023 15:18:32",24
