VESSEL,DISK,SAT_TAG_NO,PTT_ID,DATE,CAPTURE_SPN,LENGTH_MM,SC,SEX,INJURIES,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,NOTES
162,,,1,3/9/2023,1,,,1,,56,27.52,161,3.79,
162,,,2,3/9/2023,2,,,1,,56,27.48,161,4.44,
162,,,3,3/10/2023,3,55,,1,,55,47.2,163,52.42,
162,,,4,3/10/2023,4,55,,1,,55,47.2,163,52.42,
162,,,5,3/10/2023,5,56,,1,,56,30.1,162,50.33,
162,,,6,3/11/2023,6,56,,1,,56,4.52,161,56.68,
162,,,7,3/12/2023,7,56,,1,,56,42.1,159,56.7,
162,,,8,3/12/2023,8,57,,1,,57,4.52,161,16.76,
