VESSEL,DISK,SAT_TAG_NO,PTT_ID,DATE,CAPTURE_SPN,LENGTH_MM,SC,SEX,INJURIES,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,NOTES
94,,,1,3/9/2023,1,,,2,,56,30.1,163,52.42,
94,,,2,3/10/2023,2,,,2,,56,42.1,161,4.44,
94,,,3,3/11/2023,3,,,2,,57,4.52,162,50.33,
94,,,4,3/12/2023,4,,,2,,56,27.52,161,56.68,
94,,,5,3/12/2023,5,,,2,,56,27.52,161,56.68,
94,,,6,3/12/2023,6,,,2,,56,27.52,161,56.68,
