Pot ID,Latitude,Longitude
C47,56.289857,163.341461
C48,56.256642,163.341579
C49,56.223426,163.341696
C50,56.190208,163.341813
C51,56.156989,163.34193
C52,56.123769,163.342047
C53,56.090547,163.342164
C54,56.057324,163.34228
C55,56.024099,163.342396
C56,55.990873,163.342512
C57,55.957646,163.342628
C58,55.924417,163.342743
C59,55.891187,163.342859
C60,55.857955,163.342974
C61,55.824722,163.343089
C62,55.791487,163.343203
C63,55.758251,163.343318
C64,55.725014,163.343432
C65,55.691775,163.343546
C66,55.658535,163.34366
C67,55.625293,163.343774
C68,55.592049,163.343887
C69,55.558804,163.344001
C70,55.525558,163.344114
C71,55.49231,163.344226
C72,55.45906,163.344339
C73,55.425809,163.344452
C74,55.392556,163.344564
C75,55.359302,163.344676
C76,55.326046,163.344788
C77,55.292789,163.3449
C78,55.25953,163.345011
C79,55.22627,163.345122
C80,55.193008,163.345234
C81,55.159744,163.345344
D1,57.815044,162.867081
D2,57.781883,162.867649
D3,57.748721,162.868217
D4,57.715559,162.868783
D5,57.682395,162.869349
D6,57.64923,162.869913
D7,57.616065,162.870477
D8,57.582898,162.871039
D9,57.54973,162.8716
D10,57.516562,162.872161
D11,57.483392,162.87272
D12,57.450221,162.873278
D13,57.417049,162.873835
D14,57.383876,162.874391
D15,57.350703,162.874946
D16,57.317528,162.8755
D17,57.284352,162.876053
D18,57.251174,162.876605
D19,57.217996,162.877156
D20,57.184817,162.877706
D21,57.151636,162.878255
D22,57.118455,162.878803
D23,57.085272,162.879349
D24,57.052088,162.879895
D25,57.018903,162.88044
D26,56.985717,162.880984
D27,56.95253,162.881527
D28,56.919341,162.882069
D29,56.886151,162.88261
D30,56.852961,162.88315
D31,56.819768,162.883688
D32,56.786575,162.884226
D33,56.753381,162.884763
D34,56.720185,162.885299
D35,56.686988,162.885834
D36,56.65379,162.886368
D37,56.62059,162.886901
D38,56.587389,162.887433
D39,56.554187,162.887964
D40,56.520984,162.888494
D41,56.48778,162.889024
D42,56.454574,162.889552
D43,56.421367,162.890079
D44,56.388158,162.890605
D45,56.354948,162.891131
D46,56.321737,162.891655
D47,56.288525,162.892178
D48,56.255311,162.892701
D49,56.222096,162.893223
D50,56.188879,162.893743
D51,56.155661,162.894263
D52,56.122442,162.894782
D53,56.089222,162.895299
D54,56.056,162.895816
D55,56.022776,162.896332
D56,55.989551,162.896847
D57,55.956325,162.897361
D58,55.923097,162.897875
D59,55.889868,162.898387
D60,55.856638,162.898898
D61,55.823406,162.899409
D62,55.790172,162.899918
D63,55.756937,162.900427
D64,55.723701,162.900935
D65,55.690463,162.901442
D66,55.657224,162.901947
D67,55.623983,162.902452
D68,55.590741,162.902957
D69,55.557497,162.90346
D70,55.524251,162.903962
D71,55.491004,162.904464
D72,55.457756,162.904964
D73,55.424506,162.905464
D74,55.391254,162.905963
E1,57.811901,162.39841
E2,57.778743,162.399419
E3,57.745584,162.400426
E4,57.712424,162.401432
E5,57.679263,162.402435
E6,57.646102,162.403437
E7,57.612939,162.404437
E8,57.579775,162.405434
E9,57.54661,162.406431
E10,57.513444,162.407425
E11,57.480277,162.408417
E12,57.447109,162.409408
E13,57.41394,162.410396
E14,57.38077,162.411383
E15,57.347599,162.412368
E16,57.314427,162.413351
E17,57.281254,162.414332
E18,57.248079,162.415312
E19,57.214904,162.41629
E20,57.181727,162.417265
E21,57.14855,162.41824
E22,57.115371,162.419212
E23,57.082191,162.420182
E24,57.04901,162.421151
E25,57.015827,162.422118
E26,56.982644,162.423083
E27,56.949459,162.424046
E28,56.916273,162.425008
E29,56.883087,162.425968
E30,56.849898,162.426926
E31,56.816709,162.427882
E32,56.783518,162.428837
E33,56.750326,162.42979
E34,56.717133,162.430741
E35,56.683939,162.43169
E36,56.650744,162.432638
E37,56.617547,162.433584
E38,56.584349,162.434528
E39,56.551149,162.43547
E40,56.517949,162.436411
E41,56.484747,162.43735
E42,56.451543,162.438287
E43,56.418339,162.439223
E44,56.385133,162.440157
E45,56.351926,162.441089
E46,56.318717,162.44202
E47,56.285508,162.442949
E48,56.252296,162.443876
E49,56.219084,162.444802
E50,56.18587,162.445726
E51,56.152655,162.446648
E52,56.119438,162.447568
E53,56.08622,162.448487
E54,56.053,162.449405
E55,56.01978,162.45032
E56,55.986557,162.451234
E57,55.953334,162.452147
E58,55.920108,162.453057
E59,55.886882,162.453967
E60,55.853654,162.454874
E61,55.820424,162.45578
E62,55.787193,162.456684
E63,55.753961,162.457587
E64,55.720727,162.458488
E65,55.687492,162.459387
E66,55.654255,162.460285
E67,55.621017,162.461182
F1,57.807003,161.929846
F2,57.77385,161.931295
F3,57.740695,161.932742
F4,57.70754,161.934186
F5,57.674384,161.935627
F6,57.641226,161.937066
F7,57.608068,161.938502
F8,57.574908,161.939935
F9,57.541748,161.941365
F10,57.508586,161.942793
F11,57.475424,161.944218
F12,57.44226,161.945641
F13,57.409096,161.947061
F14,57.37593,161.948478
F15,57.342763,161.949893
F16,57.309595,161.951305
F17,57.276426,161.952714
F18,57.243256,161.954121
F19,57.210085,161.955525
F20,57.176913,161.956926
F21,57.143739,161.958325
F22,57.110565,161.959722
F23,57.077389,161.961116
F24,57.044212,161.962507
F25,57.011034,161.963896
F26,56.977855,161.965282
F27,56.944675,161.966665
F28,56.911493,161.968046
F29,56.87831,161.969425
F30,56.845126,161.970801
F31,56.811941,161.972174
F32,56.778755,161.973545
F33,56.745567,161.974914
F34,56.712378,161.97628
F35,56.679188,161.977643
F36,56.645996,161.979004
F37,56.612804,161.980363
F38,56.57961,161.981719
F39,56.546415,161.983073
F40,56.513218,161.984424
F41,56.48002,161.985772
F42,56.446821,161.987119
F43,56.413621,161.988462
F44,56.380419,161.989804
F45,56.347216,161.991143
