"Pot_ID","Latitude_grid","Longitude_grid","Vessel","Logger","Latitude_pot","Longitude_pot","AveDepth","AveTemp","SDTemp","AveSal","SDSal","Source"
"K23",57.0939,-159.6618,"Silver Spray",255,57.0935,-159.664,55.1703559091623,1.38119048632461,0.0479372049500934,NA,NA,"ADFG"
"K28",56.9282,-159.6793,"Silver Spray",241,56.9285,-159.6791667,51.9207912834896,1.55336759619271,0.100106485238919,NA,NA,"ADFG"
"I4",57.7155,-160.5308,"Silver Spray",242,57.71616667,-160.5321667,55.9189692583146,1.15958031917416,0.0513194252072834,31.9371861670225,0.0142292832982131,"ADFG"
"J2",57.7699,-160.0576,"Silver Spray",238,57.76966667,-160.0616667,50.165134257,1.05966338231111,0.0301299044168582,31.8184897542222,0.290301082797668,"ADFG"
"J8",57.5711,-160.0767,"Silver Spray",254,57.5705,-160.0778333,53.3871702634066,1.16598167381319,0.0714917466191236,NA,NA,"ADFG"
"J13",57.4055,-160.0925,"Silver Spray",240,57.40516667,-160.094,59.2672549086413,1.36236457040761,0.0566633804134176,NA,NA,"ADFG"
"I28",56.92,-160.5956,"Silver Spray",241,56.9195,-160.593,65.6438234468783,2.15605758450265,0.0290134824244764,NA,NA,"ADFG"
"F27",56.9447,-161.9667,"Silver Spray",240,56.94416667,-161.9675,61.9736830279429,2.07725186237714,0.100829588949245,NA,NA,"ADFG"
"I23",57.0858,-160.5823,"Silver Spray",255,57.085,-160.5815,64.6126582958421,2.07132436417895,0.0322022001180146,NA,NA,"ADFG"
"I18",57.2516,-160.5689,"Silver Spray",245,57.25183333,-160.568,64.908384266178,1.83845155919895,0.019207710285213,32.0543810520942,0.0152847985865216,"ADFG"
"I13",57.4173,-160.5554,"Silver Spray",258,57.41716667,-160.5553333,61.4238174562304,1.69659891945026,0.0201920625927945,NA,NA,"ADFG"
"I8",57.583,-160.5418,"Silver Spray",247,57.58383333,-160.542,59.493192638125,1.52606810467708,0.035136965517641,31.9532339360937,0.00835488708803081,"ADFG"
"H13",57.4274,-161.0186,"Silver Spray",240,57.42716667,-161.0168333,59.366132368587,1.574698044375,0.0692952360778982,NA,NA,"ADFG"
"H18",57.2616,-161.03,"Silver Spray",254,57.2615,-161.029,60.1078143370652,1.91658732522283,0.0932193407787847,NA,NA,"ADFG"
"H23",57.0958,-161.0412,"Silver Spray",238,57.095,-161.0383333,69.2850616283152,2.08408631928804,0.0409787162311062,32.1780046340217,0.0121589102124086,"ADFG"
"H28",56.93,-161.0524,"Silver Spray",242,56.93,-161.05,56.9554036496216,2.26330553120541,0.0383415705115885,32.0202679471351,0.031379835134869,"ADFG"
"F23",57.0774,-161.9611,"Silver Spray",247,57.0775,-161.9643333,57.1654979125,1.81606611959091,0.146630779766018,32.0432195017045,0.040491322397433,"ADFG"
"H33",56.7641,-161.0634,"Silver Spray",248,56.765,-161.0623333,70.3246640254545,2.32656906530481,0.0267214103389217,31.9320369496791,0.037852107415684,"ADFG"
"G13",57.4025,-161.4839,"Silver Spray",247,57.4025,-161.484,55.4069220612155,2.24833094537569,0.0322546213090061,31.9531564748619,0.0125487225618438,"ADFG"
"G8",57.5683,-161.4746,"Silver Spray",258,57.56866667,-161.4755,50.7016102739891,1.94991263433333,0.142948474278963,NA,NA,"ADFG"
"G3",57.7341,-161.4652,"Silver Spray",245,57.7355,-161.4666667,50.5141448229891,0.810018218945652,0.0419471262956593,32.0371917869022,0.0106017542658565,"ADFG"
"H3",57.7588,-160.9956,"Silver Spray",255,57.75833333,-161.0006667,51.5995978417391,1.42878818550543,0.0138700353182022,NA,NA,"ADFG"
"H8",57.5931,-161.0071,"Silver Spray",241,57.59333333,-161.0101667,56.8020708517838,1.58242568346486,0.0220115998238695,NA,NA,"ADFG"
"F3",57.7407,-161.9327,"Silver Spray",248,57.741,-161.929,45.7005028253886,0.620913119580311,0.0710867029367015,32.0216537942487,0.00794565872293184,"ADFG"
"F8",57.5749,-161.9399,"Silver Spray",242,57.57533333,-161.937,50.6517738338462,0.924318095205128,0.0603107296951345,32.0439106831282,0.0139850709264857,"ADFG"
"F13",57.4091,-161.9471,"Silver Spray",238,57.409,-161.9443333,50.6796263896954,1.33407411207614,0.0186406033328698,32.1337295063959,0.0130062679331904,"ADFG"
"F18",57.2433,-161.9541,"Silver Spray",240,57.2435,-161.9526667,52.3999048388384,1.86788744229293,0.0945942327339698,NA,NA,"ADFG"
"E23",57.0822,-162.4202,"Silver Spray",241,57.08166667,-162.4218333,58.5504619102551,1.79462256683163,0.0420906705572903,NA,NA,"ADFG"
"E18",57.2481,-162.4153,"Silver Spray",255,57.24783333,-162.417,52.7899743725253,1.19600029465657,0.104809756942355,NA,NA,"ADFG"
"E13",57.4139,-162.4104,"Silver Spray",258,57.41416667,-162.4118333,49.6703126715,0.604753307625,0.0427623490331535,NA,NA,"ADFG"
"G18",57.2367,-161.4931,"Silver Spray",255,57.23666667,-161.4866667,58.8769042099526,2.24473202959716,0.0552032053506645,NA,NA,"ADFG"
"E8",57.5798,-162.4054,"Silver Spray",254,57.57983333,-162.4063333,45.8370215930198,0.470290712128713,0.0718504718361555,NA,NA,"ADFG"
"E3",57.7456,-162.4004,"Silver Spray",245,57.74466667,-162.4025,45.5426235515686,0.524110217401961,0.053729536054243,32.0222419773529,0.0144622430665653,"ADFG"
"D3",57.7487,-162.8682,"Silver Spray",238,57.74833333,-162.8675,45.5565385053723,-0.554534157308511,0.0721879441357516,31.8161861998404,0.0315119776034585,"ADFG"
