VESSEL,SPN,POT_ID,BUOY,DATE_SET,TIME_SET,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,DEPTH_F,DATE_HAUL,TIME_HAUL,GEAR_CODE,NOTES
94,1,F39,BLANK,3/18/2023,8:30,56,32.7,116,59,38,3/19/2023,13:30,,
94,2,F38,LN,3/18/2023,8:45,56,34.4,116,58.9,38,3/19/2023,13:46,,
94,3,F37,OAK,3/18/2023,8:59,56,36.7,116,58.8,40.5,3/19/2023,14:02,,ADF&G temp logger 258
94,4,F36,KF,3/18/2023,9:14,56,38.7,116,58.7,42,3/19/2023,14:18,,
94,5,F35,CID,3/18/2023,9:28,56,40.7,116,58.65,40,3/19/2023,14:33,,Cory temp logger 321
94,6,F34,T16,3/18/2023,9:43,56,42.7,116,58.6,42,3/19/2023,14:50,,
94,7,F33,F62,3/18/2023,9:57,56,44.7,116,58.5,39,3/19/2023,15:04,,
94,8,F32,JFK,3/18/2023,10:12,56,46.7,116,58.45,37.5,3/19/2023,15:19,,ADF&G temp logger 245
94,9,F31,EU,3/18/2023,10:26,56,48.7,116,58.3,38.5,3/19/2023,15:35,,
94,10,F30,RA,3/18/2023,10:39,56,50.7,116,58.2,39,3/19/2023,15:49,,Cory temp logger 1
94,11,F29,CDB,3/18/2023,10:54,56,52.7,116,58.15,36,3/19/2023,16:04,,
94,12,F28,B31,3/18/2023,11:07,56,54.65,116,58.1,38,3/19/2023,16:20,,
94,13,F27,RB,3/18/2023,11:20,56,56.65,116,58.05,35.5,3/19/2023,16:34,,ADF&G temp logger 240
94,14,F26,T44,3/18/2023,11:35,56,58.6,116,58,28.5,3/19/2023,16:48,,
94,15,F25,BT,3/18/2023,11:47,57,0.65,116,57.95,33,3/19/2023,17:05,,Cory temp logger 379
94,16,F24,L5,3/18/2023,12:01,57,3.6,116,57.8,30,3/19/2023,17:19,,
94,17,F23,JFK,3/18/2023,12:15,57,4.65,116,57.86,30,3/19/2023,17:34,,ADF&G temp logger 247
94,18,F22,X195,3/18/2023,12:28,57,6.6,116,57.8,29,3/19/2023,17:49,,
94,19,F21,L63,3/18/2023,12:42,57,8.6,116,57.75,29,3/19/2023,18:05,,
94,20,F20,T20,3/18/2023,12:55,57,10.6,116,57.8,27.5,3/19/2023,18:20,,
94,21,G16,X107,3/19/2023,6:15,57,18.1,116,29.3,30.5,,,,
94,22,G17,R28,3/19/2023,6:28,57,16.2,116,29.2,31,,,,
94,23,G18,X54,3/19/2023,6:41,57,14.2,116,29.2,31.5,,,,ADF&G temp logger 255
94,24,G19,BQ,3/19/2023,6:56,57,12.2,116,29.25,32.5,,,,
94,25,G20,T41,3/19/2023,7:10,57,10.2,116,29.25,33,,,,Cory temp logger 141
94,26,G21,A5,3/19/2023,7:23,57,8.2,116,29.25,34,,,,
94,27,G22,NN,3/19/2023,7:38,57,6.2,116,29.3,34.5,,,,
94,28,G23,KK,3/19/2023,7:51,57,4.2,116,29.3,35.5,,,,ADF&G temp logger 242
94,29,G24,CRUZ,3/19/2023,8:06,57,2.2,116,29.4,36,,,,
94,30,G25,R42,3/19/2023,8:19,57,0.2,116,29.45,37,,,,Cory temp logger 400
94,31,G26,H4,3/19/2023,8:33,56,58.2,116,29.55,38.5,,,,
94,32,G27,T4,3/19/2023,8:47,56,56.2,116,29.8,41,,,,
94,33,G28,X63,3/19/2023,9:02,56,54.2,116,30.1,42.5,,,,ADF&G temp logger 254
94,34,G29,KA,3/19/2023,9:16,56,52.2,116,30.45,45,,,,
94,35,G30,MARK,3/19/2023,9:31,56,50.2,116,30.75,43.5,,,,Cory temp logger 3
94,36,G31,I48,3/19/2023,9:45,56,48.2,116,30.85,42,,,,
94,37,G32,Q26,3/19/2023,9:58,56,46.3,116,30.85,39.5,,,,
94,38,G33,X84,3/19/2023,10:12,56,44.3,116,30.85,43.5,,,,ADF&G temp logger 238
94,39,G34,H33,3/19/2023,10:26,56,42.3,116,31.05,48,,,,
94,40,G35,PO,3/19/2023,10:40,56,40.35,116,31.3,48.5,,,,
