VESSEL,CRUISE,HAUL,COMMON_NAME,SPECIES_CODE,WEIGHT,NUMBER_CRAB,HAUL_ID,RECORDING_DEVICE,ID
162,202201,799,"Tanner crab",68560,0.000,0.00000,58,"2a074d474ebdc762","2a074d474ebdc762_79968560"
162,202201,799,"red king crab",69322,44.000,18.00000,58,"2a074d474ebdc762","2a074d474ebdc762_79969322"
