VESSEL,POT,FLOAT,LATITUDE,LONGITUDE,SET_TIME,PULL_TIME
162,55,G67,55.35,-163.43333,3/10/2023 13:30,3/11/2023 18:30
162,56,P22,55.65,-162.86667,3/10/2023 13:50,3/11/2023 20:30
162,57,H34,55.96667,-162.8,3/11/2023 14:00,3/11/2023 20:40
